Timestamp,Age,Gender,Are you a?,Mobile Platform you use?,Does your mobile platform have a collection of intuitive functionalities?,Does your mobile platform make it difficult to deploy mobile applications without coding knowledge?,Does the interface on your mobile platform lack usability?,Can you build learning activities for mobile devices using your mobile platform?,Does your mobile platform have a clear description of the features it offers?,Do you use unfamiliar interaction techniques on your mobile platform?,Does deploying your scenario as a mobile application on your mobile platform provide any challenges?,Does your mobile platform function as you would hope?,Is using your mobile platform tiresome?,Do you have access to internal sensor data collection on your mobile platform?,Does the functionality of your mobile platform have a clear description?,Does your mobile platform assist you in learning fresh upgrades to its design and understanding?
10/08/2022 23:08:38,16-25,Male,A mobile phone user,Android,Yes,I don't know,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
10/08/2022 23:09:10,26-40,Male,A mobile phone user,Apple,Yes,I don't know,I don't know,Yes,Yes,No,No,Yes,No,I don't know,Yes,I don't know
10/08/2022 23:12:05,26-40,Male,A mobile phone user,Android,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
10/08/2022 23:15:47,16-25,Female,A mobile phone user,Apple,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
10/08/2022 23:16:36,16-25,Male,A mobile phone user,Apple,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes
10/08/2022 23:16:38,16-25,Female,A mobile phone user,Apple,Yes,I don't know,I don't know,Yes,Yes,No,I don't know,Yes,I don't know,No,Yes,Yes
10/08/2022 23:17:33,16-25,Female,A mobile phone user,Apple,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
10/08/2022 23:22:56,16-25,Male,A mobile phone user,Apple,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes
10/08/2022 23:23:07,26-40,Male,A mobile phone user,Apple,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
10/08/2022 23:24:53,16-25,Male,A mobile phone user,Android,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
10/08/2022 23:25:38,26-40,Male,A mobile phone user,Android,I don’t know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,Yes,Yes
10/08/2022 23:26:31,16-25,Male,A mobile phone user,Android,I don’t know,I don't know,I don't know,No,Yes,I don't know,I don't know,I don't know,I don't know,Yes,Yes,Yes
